,Input Index,Position List,Identifier,Input Label,Label Name,BMU Distance
0,237,"[(0, 0), (0, 0)]",NDARINV0182J779,5,ABCD-ASD,1.236224542632946
1,251,"[(0, 0), (0, 0)]",NDARINV2GAAH0E9,5,ABCD-ASD,2.8644455097884562
22,291,"[(0, 0), (0, 1)]",NDARINVAD8N7RW7,5,ABCD-ASD,1.3993394825232346
23,317,"[(0, 0), (1, 1)]",NDARINVE1DC53WA,5,ABCD-ASD,1.322024906132374
24,395,"[(0, 0), (1, 1)]",NDARINVZFG1AXUD,5,ABCD-ASD,0.8857777032230277
28,281,"[(1, 0), (0, 3)]",NDARINV88JX7RKX,5,ABCD-ASD,1.6397626096324283
30,265,"[(1, 0), (3, 3)]",NDARINV4JNMXAVB,5,ABCD-ASD,1.176220849209096
50,259,"[(0, 2), (2, 0)]",NDARINV3NGLDPCG,5,ABCD-ASD,3.1448016773700362
51,280,"[(0, 2), (2, 0)]",NDARINV84EPJRY1,5,ABCD-ASD,4.319792958900518
52,292,"[(0, 2), (2, 0)]",NDARINVAF36HM7X,5,ABCD-ASD,7.539809879688571
64,354,"[(0, 2), (1, 0)]",NDARINVMG9REUL8,5,ABCD-ASD,1.680681989575459
79,389,"[(0, 2), (2, 2)]",NDARINVYHJRWF2C,5,ABCD-ASD,2.184861248172511
97,242,"[(1, 2), (1, 0)]",NDARINV11THDW9B,5,ABCD-ASD,0.6986239713406561
157,358,"[(0, 1), (1, 4)]",NDARINVNHL7P38J,5,ABCD-ASD,0.769385575646157
160,323,"[(0, 1), (3, 2)]",NDARINVF86XUHXD,5,ABCD-ASD,1.385679340018068
171,255,"[(1, 1), (1, 2)]",NDARINV2TRERCDA,5,ABCD-ASD,0.7687285162518612
172,257,"[(1, 1), (1, 2)]",NDARINV2XAHZZ2A,5,ABCD-ASD,1.0242080784184098
174,290,"[(1, 1), (1, 1)]",NDARINV9HP92RX0,5,ABCD-ASD,1.1366644304213804
175,312,"[(1, 1), (2, 1)]",NDARINVCZWTTCVK,5,ABCD-ASD,0.8787495077442093
183,304,"[(1, 1), (3, 1)]",NDARINVC25XBH2T,5,ABCD-ASD,0.8260088832804359
187,287,"[(4, 0), (0, 0)]",NDARINV9BC4K3FV,5,ABCD-ASD,0.9755402924371136
190,264,"[(4, 0), (0, 1)]",NDARINV4BU3CBM5,5,ABCD-ASD,3.3586996954115365
191,283,"[(4, 0), (0, 1)]",NDARINV90DJ18JF,5,ABCD-ASD,3.3207669892492566
192,302,"[(4, 0), (0, 1)]",NDARINVC0BDYBKD,5,ABCD-ASD,4.033084647811636
193,325,"[(4, 0), (0, 1)]",NDARINVFBRPT56J,5,ABCD-ASD,2.35426645091059
