,Input Index,Position List,Identifier,Input Label,Label Name,BMU Distance
15,177,"[(0, 3), (6, 0)]",IBIS110925,4,ASD,2.409018394989019
16,222,"[(0, 3), (6, 0)]",IBIS688878,4,ASD,2.215052733773807
25,183,"[(0, 2), (3, 2)]",IBIS160209,4,ASD,1.3869250217996028
26,209,"[(3, 0), (1, 0)]",IBIS544847,4,ASD,1.6053761076541186
27,230,"[(3, 0), (1, 1)]",IBIS841812,4,ASD,2.3997105621816215
31,218,"[(3, 0), (2, 1)]",IBIS638999,4,ASD,1.3583279083932736
34,212,"[(3, 0), (5, 1)]",IBIS569748,4,ASD,3.5595911057438405
35,219,"[(3, 0), (4, 0)]",IBIS641078,4,ASD,1.7344429841335354
37,178,"[(3, 0), (4, 1)]",IBIS910593,4,ASD,1.4524709514250942
38,194,"[(3, 0), (4, 1)]",IBIS373485,4,ASD,0.9283445684359074
39,206,"[(3, 0), (4, 1)]",IBIS490878,4,ASD,1.3440728971681148
44,181,"[(3, 0), (3, 1)]",IBIS155712,4,ASD,1.1416355391750534
45,193,"[(3, 0), (3, 1)]",IBIS336576,4,ASD,0.6098207169085068
46,195,"[(3, 0), (3, 1)]",IBIS389101,4,ASD,1.8368550813585047
47,232,"[(3, 0), (3, 1)]",IBIS931343,4,ASD,1.335580258136837
53,231,"[(3, 1), (0, 2)]",IBIS930203,4,ASD,1.4900760400030901
55,185,"[(3, 1), (0, 1)]",IBIS174982,4,ASD,0.8678160954431454
58,191,"[(3, 1), (1, 1)]",IBIS241033,4,ASD,0.5457328165022203
64,186,"[(3, 1), (1, 2)]",IBIS983222,4,ASD,0.8153893386417564
66,215,"[(3, 1), (5, 1)]",IBIS600014,4,ASD,0.7838076346079271
77,175,"[(3, 1), (5, 2)]",IBIS108131,4,ASD,3.2074960994671526
78,187,"[(3, 1), (5, 2)]",IBIS230955,4,ASD,1.7992398690804776
79,200,"[(3, 1), (5, 2)]",IBIS439857,4,ASD,1.3888916406438034
80,201,"[(3, 1), (5, 2)]",IBIS447754,4,ASD,2.1007188410116933
81,235,"[(3, 1), (5, 2)]",IBIS950194,4,ASD,1.0496446414961222
86,204,"[(3, 1), (4, 2)]",IBIS463809,4,ASD,0.784079267847789
87,216,"[(3, 1), (4, 2)]",IBIS603076,4,ASD,0.9894714807976719
88,224,"[(3, 1), (4, 2)]",IBIS784198,4,ASD,1.4870763390793615
89,227,"[(3, 1), (4, 2)]",IBIS810826,4,ASD,1.3191754656245465
90,228,"[(3, 1), (4, 2)]",IBIS816236,4,ASD,1.4079053820074985
96,217,"[(3, 1), (2, 2)]",IBIS628043,4,ASD,0.8144888165833665
97,192,"[(3, 2), (0, 0)]",IBIS291809,4,ASD,0.6314973034736276
98,199,"[(3, 2), (1, 0)]",IBIS402809,4,ASD,1.9298017257769373
105,223,"[(3, 2), (0, 8)]",IBIS769060,4,ASD,0.6083014936356301
121,180,"[(3, 2), (0, 5)]",IBIS919979,4,ASD,0.6800439321334405
122,226,"[(3, 2), (0, 5)]",IBIS809318,4,ASD,0.82212124521427
123,233,"[(3, 2), (0, 5)]",IBIS942002,4,ASD,0.6024443812263361
124,236,"[(3, 2), (0, 5)]",IBIS963992,4,ASD,0.7015602453691971
130,188,"[(3, 2), (1, 8)]",IBIS988197,4,ASD,1.1110480815400012
137,182,"[(3, 2), (1, 6)]",IBIS929204,4,ASD,0.629471713611744
140,205,"[(3, 2), (1, 5)]",IBIS482642,4,ASD,0.7529058291564161
144,197,"[(3, 3), (0, 1)]",IBIS391729,4,ASD,1.6928948028595348
145,202,"[(3, 3), (0, 1)]",IBIS456823,4,ASD,2.1251980141981432
150,190,"[(3, 3), (7, 0)]",IBIS988903,4,ASD,1.0343945411782642
157,176,"[(3, 3), (6, 1)]",IBIS868281,4,ASD,1.0502355183190215
164,214,"[(3, 3), (5, 1)]",IBIS597653,4,ASD,1.3781246451071882
165,234,"[(3, 3), (5, 1)]",IBIS943489,4,ASD,1.7771680391890343
167,225,"[(3, 3), (4, 1)]",IBIS792433,4,ASD,1.3487178597414469
171,211,"[(2, 0), (0, 0)]",IBIS553295,4,ASD,1.08773286951518
173,189,"[(2, 1), (4, 0)]",IBIS235108,4,ASD,1.2266416722927314
179,184,"[(2, 2), (3, 2)]",IBIS973338,4,ASD,0.9629888841861305
182,210,"[(2, 3), (0, 3)]",IBIS552855,4,ASD,0.8721836787111474
184,172,"[(2, 3), (0, 2)]",IBIS845807,4,ASD,0.8524692224143868
196,203,"[(2, 3), (2, 0)]",IBIS460612,4,ASD,0.8822370350467721
201,221,"[(2, 3), (3, 0)]",IBIS680028,4,ASD,0.5809201667428663
203,173,"[(2, 3), (3, 2)]",IBIS107524,4,ASD,1.05951489310692
208,198,"[(2, 3), (3, 3)]",IBIS396346,4,ASD,0.7420258720120727
209,220,"[(2, 3), (3, 3)]",IBIS649998,4,ASD,0.6141940715816803
210,229,"[(2, 3), (3, 3)]",IBIS830319,4,ASD,1.1664072840347086
213,207,"[(2, 3), (5, 0)]",IBIS502237,4,ASD,1.1623987093301111
220,179,"[(2, 3), (4, 3)]",IBIS152174,4,ASD,1.405726486469968
224,196,"[(1, 3), (1, 2)]",IBIS389521,4,ASD,1.4732051759839309
234,174,"[(1, 3), (2, 4)]",IBIS903923,4,ASD,1.2103661670548487
235,208,"[(1, 3), (2, 4)]",IBIS515353,4,ASD,1.0275457526075995
236,213,"[(1, 3), (2, 4)]",IBIS570637,4,ASD,0.5385336332949227
