ROI,Behavior,Corr,p-value,nsamples
Right Crus II of cerebellar hemisphere,CBCL-social_prob_score,0.5904042985720529,0.1377862213778622,8
Right Crus II of cerebellar hemisphere,CBCL-thought_prob_score,0.5033043315437423,0.204979502049795,8
Right Crus II of cerebellar hemisphere,CBCL-anx_prob_score,0.17078251276599332,0.704929507049295,8
Right Crus II of cerebellar hemisphere,CBCL-internalizing_score,-0.11904761904761905,0.7889211078892111,8
Right Crus II of cerebellar hemisphere,CBCL-externalizing_score,0.554257096618662,0.16198380161983802,8
Right Crus II of cerebellar hemisphere,CBCL-total_problems_score,0.7142857142857144,0.064993500649935,8
Right Crus II of cerebellar hemisphere,CBCL-attention_prob_score,0.8795819141991809,0.006799320067993201,8
Right Crus II of cerebellar hemisphere,"V24 ADOS_Derived,restricted_repetitive_behavior_total",-0.31037611591959413,0.42675732426757323,9
Right Crus II of cerebellar hemisphere,"V36 ADOS_Derived,restricted_repetitive_behavior_total",-0.41194292043554975,0.4444444444444444,6
Right Crus II of cerebellar hemisphere,"V24 ADOS_Derived,social_affect_total",-0.05857791861290061,0.8727127287271272,9
Right Crus II of cerebellar hemisphere,"V36 ADOS_Derived,social_affect_total",-0.3142857142857143,0.5638888888888889,6
Left Crus II of cerebellar hemisphere,CBCL-social_prob_score,0.313275750262722,0.4453554644535546,8
Left Crus II of cerebellar hemisphere,CBCL-thought_prob_score,0.3682714621051773,0.35256474352564743,8
Left Crus II of cerebellar hemisphere,CBCL-anx_prob_score,0.07319250547113999,0.8879112088791121,8
Left Crus II of cerebellar hemisphere,CBCL-internalizing_score,0.023809523809523815,0.9805019498050195,8
Left Crus II of cerebellar hemisphere,CBCL-externalizing_score,0.3855701541695039,0.35636436356364365,8
Left Crus II of cerebellar hemisphere,CBCL-total_problems_score,0.38095238095238104,0.35236476352364765,8
Left Crus II of cerebellar hemisphere,CBCL-attention_prob_score,0.7831893756568048,0.025997400259974,8
Left Crus II of cerebellar hemisphere,"V24 ADOS_Derived,restricted_repetitive_behavior_total",-0.6207522318391883,0.09219078092190781,9
Left Crus II of cerebellar hemisphere,"V36 ADOS_Derived,restricted_repetitive_behavior_total",-0.7650368522374495,0.08888888888888889,6
Left Crus II of cerebellar hemisphere,"V24 ADOS_Derived,social_affect_total",-0.10878756313824399,0.7889211078892111,9
Left Crus II of cerebellar hemisphere,"V36 ADOS_Derived,social_affect_total",-0.3142857142857143,0.5638888888888889,6
Left Crus I of cerebellar hemisphere,CBCL-social_prob_score,0.132539740495767,0.7457254274572542,8
Left Crus I of cerebellar hemisphere,CBCL-thought_prob_score,0.2455143080701182,0.53994600539946,8
Left Crus I of cerebellar hemisphere,CBCL-anx_prob_score,-0.46355253465055324,0.24817518248175183,8
Left Crus I of cerebellar hemisphere,CBCL-internalizing_score,-0.4047619047619048,0.3287671232876712,8
Left Crus I of cerebellar hemisphere,CBCL-externalizing_score,0.25303041367373696,0.5367463253674633,8
Left Crus I of cerebellar hemisphere,CBCL-total_problems_score,-0.11904761904761905,0.7961203879612039,8
Left Crus I of cerebellar hemisphere,CBCL-attention_prob_score,0.024098134635593994,0.9605039496050395,8
Left Crus I of cerebellar hemisphere,"V24 ADOS_Derived,restricted_repetitive_behavior_total",-0.2921186973360886,0.47635236476352366,9
Left Crus I of cerebellar hemisphere,"V36 ADOS_Derived,restricted_repetitive_behavior_total",-0.1471224715841249,0.7777777777777778,6
Left Crus I of cerebellar hemisphere,"V24 ADOS_Derived,social_affect_total",-0.10041928905068677,0.8001199880011999,9
Left Crus I of cerebellar hemisphere,"V36 ADOS_Derived,social_affect_total",-0.14285714285714288,0.8027777777777778,6
Right Crus I of cerebellar hemisphere,CBCL-social_prob_score,0.09639253854237598,0.8295170482951705,8
Right Crus I of cerebellar hemisphere,CBCL-thought_prob_score,0.687440062596331,0.0705929407059294,8
Right Crus I of cerebellar hemisphere,CBCL-anx_prob_score,0.09759000729485333,0.8211178882111789,8
Right Crus I of cerebellar hemisphere,CBCL-internalizing_score,0.14285714285714288,0.7443255674432556,8
Right Crus I of cerebellar hemisphere,CBCL-externalizing_score,0.12049067317796998,0.7925207479252074,8
Right Crus I of cerebellar hemisphere,CBCL-total_problems_score,0.3333333333333334,0.4293570642935706,8
Right Crus I of cerebellar hemisphere,CBCL-attention_prob_score,0.313275750262722,0.4443555644435556,8
Right Crus I of cerebellar hemisphere,"V24 ADOS_Derived,restricted_repetitive_behavior_total",-0.18257418583505536,0.6467353264673532,9
Right Crus I of cerebellar hemisphere,"V36 ADOS_Derived,restricted_repetitive_behavior_total",-0.5590653920196746,0.26666666666666666,6
Right Crus I of cerebellar hemisphere,"V24 ADOS_Derived,social_affect_total",0.11715583722580122,0.7641235876412359,9
Right Crus I of cerebellar hemisphere,"V36 ADOS_Derived,social_affect_total",-0.14285714285714288,0.8027777777777778,6
Right Amygdala,CBCL-social_prob_score,0.07229440390678199,0.8639136086391361,8
Right Amygdala,CBCL-thought_prob_score,0.23323859266661226,0.5771422857714229,8
Right Amygdala,CBCL-anx_prob_score,0.7075275528876865,0.0603939606039396,8
Right Amygdala,CBCL-internalizing_score,0.7619047619047621,0.038396160383961604,8
Right Amygdala,CBCL-externalizing_score,0.08434347122457898,0.8517148285171483,8
Right Amygdala,CBCL-total_problems_score,0.4047619047619048,0.32116788321167883,8
Right Amygdala,CBCL-attention_prob_score,0.4096682888050979,0.31256874312568744,8
Right Amygdala,"V24 ADOS_Derived,restricted_repetitive_behavior_total",-0.16431676725154984,0.6931306869313069,9
Right Amygdala,"V36 ADOS_Derived,restricted_repetitive_behavior_total",-0.3236694374850748,0.5111111111111111,6
Right Amygdala,"V24 ADOS_Derived,social_affect_total",0.1924703040138163,0.6341365863413658,9
Right Amygdala,"V36 ADOS_Derived,social_affect_total",0.48571428571428577,0.35555555555555557,6
Right Posterior cingulate gyrus,CBCL-social_prob_score,-0.22893227903814295,0.5933406659334066,8
Right Posterior cingulate gyrus,CBCL-thought_prob_score,-0.2577900234736241,0.5455454454554545,8
Right Posterior cingulate gyrus,CBCL-anx_prob_score,-0.5855400437691199,0.1411858814118588,8
Right Posterior cingulate gyrus,CBCL-internalizing_score,-0.523809523809524,0.19238076192380762,8
Right Posterior cingulate gyrus,CBCL-externalizing_score,0.0,1.0,8
Right Posterior cingulate gyrus,CBCL-total_problems_score,-0.38095238095238104,0.36276372362763726,8
Right Posterior cingulate gyrus,CBCL-attention_prob_score,0.18073600976695497,0.6745325467453255,8
Right Posterior cingulate gyrus,"V24 ADOS_Derived,restricted_repetitive_behavior_total",0.3286335345030997,0.3915608439156084,9
Right Posterior cingulate gyrus,"V36 ADOS_Derived,restricted_repetitive_behavior_total",0.44136741475237473,0.4111111111111111,6
Right Posterior cingulate gyrus,"V24 ADOS_Derived,social_affect_total",-0.12552411131335847,0.7651234876512348,9
Right Posterior cingulate gyrus,"V36 ADOS_Derived,social_affect_total",-0.028571428571428574,1.0,6
Left Amygdala,CBCL-social_prob_score,-0.024098134635593994,0.9565043495650435,8
Left Amygdala,CBCL-thought_prob_score,-0.27006573887713003,0.5071492850714928,8
Left Amygdala,CBCL-anx_prob_score,0.34156502553198664,0.40335966403359663,8
Left Amygdala,CBCL-internalizing_score,0.5000000000000001,0.21277872212778723,8
Left Amygdala,CBCL-externalizing_score,-0.04819626927118799,0.9209079092090791,8
