ROI,Behavior,Corr,p-value,nsamples
Left Crus II of cerebellar hemisphere,CBCL-aggr_behav_score,0.13163541877912996,0.5687431256874312,21
Left Crus II of cerebellar hemisphere,CBCL-anx_prob_score,-0.2679090082760857,0.2333766623337666,21
Left Crus II of cerebellar hemisphere,CBCL-anxious_score,-0.24026991094572733,0.28617138286171384,21
Left Crus II of cerebellar hemisphere,CBCL-attention_hyper_prob_score,0.09381157259929251,0.6827317268273173,21
Left Crus II of cerebellar hemisphere,CBCL-attention_prob_score,0.053403029721464226,0.8207179282071793,21
Left Crus II of cerebellar hemisphere,CBCL-conduct_prob_score,-0.0581802501264494,0.7851214878512148,21
Left Crus II of cerebellar hemisphere,CBCL-depressed_score,-0.09887121208744379,0.6681331866813318,21
Left Crus II of cerebellar hemisphere,CBCL-depressive_prob_score,-0.1775223743234096,0.42155784421557846,21
Left Crus II of cerebellar hemisphere,CBCL-externalizing_score,0.03904988979241759,0.8711128887111289,21
Left Crus II of cerebellar hemisphere,CBCL-internalizing_score,-0.2207759399460533,0.3287671232876712,21
Left Crus II of cerebellar hemisphere,CBCL-obsessive_comp_prob_score,0.08779111058031373,0.7135286471352865,21
Left Crus II of cerebellar hemisphere,CBCL-oppo_def_prob_score,-0.13470061621962795,0.5423457654234577,21
Left Crus II of cerebellar hemisphere,CBCL-rule_break_behav_score,-0.06369639632419194,0.7771222877712228,21
Left Crus II of cerebellar hemisphere,CBCL-sluggish_cogn_tempo_score,-0.19468991961762305,0.391960803919608,21
Left Crus II of cerebellar hemisphere,CBCL-social_prob_score,0.17759594068407364,0.4403559644035596,21
Left Crus II of cerebellar hemisphere,CBCL-som_comp_score,-0.12167300546491697,0.6011398860113989,21
Left Crus II of cerebellar hemisphere,CBCL-som_prob_score,-0.15124595092636609,0.5165483451654834,21
Left Crus II of cerebellar hemisphere,CBCL-stress_prob_score,-0.09598580746280355,0.6651334866513349,21
Left Crus II of cerebellar hemisphere,CBCL-thought_prob_score,0.1705918790572207,0.46755324467553244,21
Left Crus II of cerebellar hemisphere,CBCL-total_problems_score,0.03771134527924671,0.8831116888311169,21
Right Crus II of cerebellar hemisphere,CBCL-aggr_behav_score,-0.001309805161981393,0.9947005299470053,21
Right Crus II of cerebellar hemisphere,CBCL-anx_prob_score,-0.20815479319489996,0.36276372362763726,21
Right Crus II of cerebellar hemisphere,CBCL-anxious_score,-0.21473714111770728,0.3477652234776522,21
Right Crus II of cerebellar hemisphere,CBCL-attention_hyper_prob_score,-0.12703650456154195,0.5687431256874312,21
Right Crus II of cerebellar hemisphere,CBCL-attention_prob_score,-0.09573469962262489,0.6921307869213079,21
Right Crus II of cerebellar hemisphere,CBCL-conduct_prob_score,-0.23338973901299814,0.3103689631036896,21
Right Crus II of cerebellar hemisphere,CBCL-depressed_score,-0.04008292381923397,0.8589141085891411,21
Right Crus II of cerebellar hemisphere,CBCL-depressive_prob_score,-0.2448356909813567,0.28317168283171684,21
Right Crus II of cerebellar hemisphere,CBCL-externalizing_score,-0.1145463433910916,0.6131386861313869,21
Right Crus II of cerebellar hemisphere,CBCL-internalizing_score,-0.14653270350401768,0.5167483251674833,21
Right Crus II of cerebellar hemisphere,CBCL-obsessive_comp_prob_score,0.09311178394881758,0.696930306969303,21
Right Crus II of cerebellar hemisphere,CBCL-oppo_def_prob_score,-0.22931958566170807,0.3077692230776922,21
Right Crus II of cerebellar hemisphere,CBCL-rule_break_behav_score,-0.26871917199268475,0.23917608239176083,21
Right Crus II of cerebellar hemisphere,CBCL-sluggish_cogn_tempo_score,-0.21655726566163142,0.3417658234176582,21
Right Crus II of cerebellar hemisphere,CBCL-social_prob_score,0.15793587344967436,0.49095090490950904,21
Right Crus II of cerebellar hemisphere,CBCL-som_comp_score,-0.10910894511799618,0.6293370662933707,21
Right Crus II of cerebellar hemisphere,CBCL-som_prob_score,-0.16895944067449903,0.45415458454154584,21
Right Crus II of cerebellar hemisphere,CBCL-stress_prob_score,-0.09729173681603898,0.6685331466853315,21
Right Crus II of cerebellar hemisphere,CBCL-thought_prob_score,0.13856505118824058,0.5541445855414459,21
Right Crus II of cerebellar hemisphere,CBCL-total_problems_score,-0.02600782433051497,0.9041095890410958,21
Right Amygdala,CBCL-aggr_behav_score,-0.0039294154859441785,0.9715028497150285,21
Right Amygdala,CBCL-anx_prob_score,-0.37953776172445475,0.08919108089191082,21
Right Amygdala,CBCL-anxious_score,-0.2769323496731408,0.22177782221777823,21
Right Amygdala,CBCL-attention_hyper_prob_score,-0.08078218751605745,0.7215278472152785,21
Right Amygdala,CBCL-attention_prob_score,-0.2064482978256605,0.37036296370362964,21
Right Amygdala,CBCL-conduct_prob_score,0.02674954028802271,0.9035096490350965,21
Right Amygdala,CBCL-depressed_score,-0.13962218463699833,0.5565443455654434,21
Right Amygdala,CBCL-depressive_prob_score,-0.22833732905538928,0.3133686631336866,21
Right Amygdala,CBCL-externalizing_score,0.03189074333047436,0.8967103289671033,21
Right Amygdala,CBCL-internalizing_score,-0.30088048452824967,0.18738126187381263,21
Right Amygdala,CBCL-obsessive_comp_prob_score,-0.309264139544287,0.16778322167783222,21
Right Amygdala,CBCL-oppo_def_prob_score,0.13272938768958462,0.5669433056694331,21
Right Amygdala,CBCL-rule_break_behav_score,0.02255914036481798,0.9205079492050795,21
Right Amygdala,CBCL-sluggish_cogn_tempo_score,-0.42464975220945317,0.059194080591940805,21
Right Amygdala,CBCL-social_prob_score,-0.08322761795895703,0.7073292670732927,21
Right Amygdala,CBCL-som_comp_score,-0.44370971014651783,0.0463953604639536,21
Right Amygdala,CBCL-som_prob_score,-0.46463846185487234,0.0365963403659634,21
Right Amygdala,CBCL-stress_prob_score,-0.27489812885605647,0.22097790220977903,21
Right Amygdala,CBCL-thought_prob_score,-0.18889292355378076,0.397960203979602,21
Right Amygdala,CBCL-total_problems_score,-0.27178176425388145,0.22717728227177283,21
Left Crus I of cerebellar hemisphere,CBCL-aggr_behav_score,0.2364198317376414,0.29757024297570245,21
Left Crus I of cerebellar hemisphere,CBCL-anx_prob_score,-0.2029016753855649,0.3675632436756324,21
Left Crus I of cerebellar hemisphere,CBCL-anxious_score,-0.22259337798786724,0.3237676232376762,21
Left Crus I of cerebellar hemisphere,CBCL-attention_hyper_prob_score,0.1407173588989388,0.5443455654434557,21
Left Crus I of cerebellar hemisphere,CBCL-attention_prob_score,0.16411662792449982,0.47355264473552644,21
Left Crus I of cerebellar hemisphere,CBCL-conduct_prob_score,0.044136741475237475,0.8617138286171383,21
Left Crus I of cerebellar hemisphere,CBCL-depressed_score,-0.01603316952769359,0.9401059894010599,21
Left Crus I of cerebellar hemisphere,CBCL-depressive_prob_score,-0.17884224327748696,0.43995600439956006,21
Left Crus I of cerebellar hemisphere,CBCL-externalizing_score,0.19004279698976562,0.40715928407159285,21
Left Crus I of cerebellar hemisphere,CBCL-internalizing_score,-0.18300306526501767,0.4183581641835816,21
Left Crus I of cerebellar hemisphere,CBCL-obsessive_comp_prob_score,0.12636599250196673,0.5681431856814319,21
Left Crus I of cerebellar hemisphere,CBCL-oppo_def_prob_score,0.016426904417027797,0.9537046295370463,21
Left Crus I of cerebellar hemisphere,CBCL-rule_break_behav_score,0.07630297476335493,0.7425257474252575,21
Left Crus I of cerebellar hemisphere,CBCL-sluggish_cogn_tempo_score,-0.10228274762520051,0.6605339466053395,21
Left Crus I of cerebellar hemisphere,CBCL-social_prob_score,0.2555808740471908,0.25977402259774024,21
Left Crus I of cerebellar hemisphere,CBCL-som_comp_score,-0.0641428344027008,0.7751224877512248,21
Left Crus I of cerebellar hemisphere,CBCL-som_prob_score,-0.0810732800010701,0.7285271472852715,21
Left Crus I of cerebellar hemisphere,CBCL-stress_prob_score,-0.010447434825883381,0.9701029897010299,21
Left Crus I of cerebellar hemisphere,CBCL-thought_prob_score,0.251639361827701,0.26877312268773124,21
Left Crus I of cerebellar hemisphere,CBCL-total_problems_score,0.1014305148890084,0.6643335666433356,21
Right Crus I of cerebellar hemisphere,CBCL-aggr_behav_score,0.14538837297993462,0.5253474652534746,21
Right Crus I of cerebellar hemisphere,CBCL-anx_prob_score,-0.2252274260752387,0.32696730326967305,21
Right Crus I of cerebellar hemisphere,CBCL-anxious_score,-0.1571247374032004,0.5009499050094991,21
Right Crus I of cerebellar hemisphere,CBCL-attention_hyper_prob_score,0.15700409025298262,0.48675132486751327,21
Right Crus I of cerebellar hemisphere,CBCL-attention_prob_score,0.16411662792449982,0.47455254474552544,21
Right Crus I of cerebellar hemisphere,CBCL-conduct_prob_score,0.062192681169652805,0.795920407959204,21
Right Crus I of cerebellar hemisphere,CBCL-depressed_score,-0.217115837354184,0.33596640335966405,21
Right Crus I of cerebellar hemisphere,CBCL-depressive_prob_score,-0.06599344770386972,0.7705229477052294,21
Right Crus I of cerebellar hemisphere,CBCL-externalizing_score,0.08786225203293957,0.7121287871212879,21
Right Crus I of cerebellar hemisphere,CBCL-internalizing_score,-0.1940744250853212,0.3915608439156084,21
Right Crus I of cerebellar hemisphere,CBCL-obsessive_comp_prob_score,0.02527319850039335,0.9231076892310769,21
Right Crus I of cerebellar hemisphere,CBCL-oppo_def_prob_score,-0.0768779126716901,0.7319268073192681,21
Right Crus I of cerebellar hemisphere,CBCL-rule_break_behav_score,0.11213219769571289,0.6347365263473652,21
Right Crus I of cerebellar hemisphere,CBCL-sluggish_cogn_tempo_score,0.0021161947784524245,0.9923007699230078,21
Right Crus I of cerebellar hemisphere,CBCL-social_prob_score,0.19660067234399295,0.39116088391160886,21
Right Crus I of cerebellar hemisphere,CBCL-som_comp_score,-0.019837990021453852,0.9371062893710629,21
Right Crus I of cerebellar hemisphere,CBCL-som_prob_score,-0.08652358453895716,0.7025297470252975,21
Right Crus I of cerebellar hemisphere,CBCL-stress_prob_score,-0.04374863333338666,0.8445155484451555,21
Right Crus I of cerebellar hemisphere,CBCL-thought_prob_score,0.23725996972326102,0.3007699230076992,21
Right Crus I of cerebellar hemisphere,CBCL-total_problems_score,0.06371916960976168,0.795920407959204,21
Right Superior parietal gyrus,CBCL-aggr_behav_score,-0.025541200658637162,0.9199080091990801,21
Right Superior parietal gyrus,CBCL-anx_prob_score,0.03151870685601009,0.8973102689731027,21
Right Superior parietal gyrus,CBCL-anxious_score,0.05564834449696681,0.8041195880411959,21
Right Superior parietal gyrus,CBCL-attention_hyper_prob_score,0.12443062754489495,0.5767423257674232,21
Right Superior parietal gyrus,CBCL-attention_prob_score,0.18104929588496407,0.41515848415158485,21
Right Superior parietal gyrus,CBCL-conduct_prob_score,-0.1350851784545147,0.555944405559444,21
Right Superior parietal gyrus,CBCL-depressed_score,-0.06413267811077436,0.7789221077892211,21
Right Superior parietal gyrus,CBCL-depressive_prob_score,-0.15442466762705517,0.49475052494750527,21
Right Superior parietal gyrus,CBCL-externalizing_score,-0.037748226799337,0.8663133686631337,21
Right Superior parietal gyrus,CBCL-internalizing_score,0.020840206720571405,0.9317068293170683,21
Right Superior parietal gyrus,CBCL-obsessive_comp_prob_score,0.04855114448759775,0.8325167483251675,21
Right Superior parietal gyrus,CBCL-oppo_def_prob_score,-0.14389968269316353,0.52994700529947,21
Right Superior parietal gyrus,CBCL-rule_break_behav_score,-0.0981986109997959,0.6605339466053395,21
Right Superior parietal gyrus,CBCL-sluggish_cogn_tempo_score,0.13402566930198687,0.5629437056294371,21
Right Superior parietal gyrus,CBCL-social_prob_score,0.08584896025687694,0.6945305469453055,21
Right Superior parietal gyrus,CBCL-som_comp_score,0.02975698503218078,0.8961103889611038,21
Right Superior parietal gyrus,CBCL-som_prob_score,0.07971070386659834,0.7371262873712628,21
Right Superior parietal gyrus,CBCL-stress_prob_score,0.06594943233838885,0.7659234076592341,21
Right Superior parietal gyrus,CBCL-thought_prob_score,-0.022876305620700095,0.9331066893310669,21
Right Superior parietal gyrus,CBCL-total_problems_score,0.03055919358835509,0.8921107889211078,21
Left Amygdala,CBCL-aggr_behav_score,-0.053702011641237106,0.81991800819918,21
Left Amygdala,CBCL-anx_prob_score,-0.20355831511173178,0.3701629837016298,21
Left Amygdala,CBCL-anxious_score,-0.13813883163364704,0.5457454254574543,21
Left Amygdala,CBCL-attention_hyper_prob_score,-0.10358361141171882,0.6621337866213378,21
Left Amygdala,CBCL-attention_prob_score,-0.17128044898469624,0.46035396460353967,21
