,Input Index,Position List,Identifier,Input Label,Label Name,BMU Distance
0,51,"[(0, 0), (0, 0)]",CONTE0549-1-1,0,CONTE-Outlier,2.703888280165036
1,48,"[(0, 0), (2, 0)]",CONTE0506-1-1,0,CONTE-Outlier,3.0352236385646005
2,24,"[(0, 0), (1, 2)]",CONTE0378-1-1,0,CONTE-Outlier,1.3251433429173425
3,89,"[(0, 0), (2, 2)]",TWINST0313-1-1,0,CONTE-Outlier,1.1542063716273865
4,44,"[(0, 0), (1, 1)]",CONTE0482-1-1,0,CONTE-Outlier,0.6928065225903473
5,0,"[(1, 0), (3, 4)]",CONTE0087-2-1,0,CONTE-Outlier,1.7052075514586864
6,39,"[(1, 0), (2, 1)]",CONTE0463-1-1,0,CONTE-Outlier,1.3336984546564596
7,15,"[(1, 0), (2, 5)]",CONTE0270-1-1,0,CONTE-Outlier,2.2718063088231397
8,9,"[(3, 0), (0, 0)]",CONTE0180-1-1,0,CONTE-Outlier,2.540077947805941
9,79,"[(3, 0), (0, 0)]",TWINST0198-1-1,0,CONTE-Outlier,7.815748788894015
10,10,"[(3, 0), (4, 0)]",CONTE0195-1-1,0,CONTE-Outlier,1.8339000195622572
11,20,"[(3, 0), (4, 0)]",CONTE0346-2-1,0,CONTE-Outlier,1.2907099814898686
12,36,"[(3, 0), (3, 0)]",CONTE0449-1-1,0,CONTE-Outlier,0.7798199180035155
13,28,"[(3, 0), (2, 2)]",CONTE0399-1-1,0,CONTE-Outlier,1.3623332881468988
14,78,"[(3, 0), (2, 3)]",TWINST0180-1-1,0,CONTE-Outlier,0.7707425147305924
15,87,"[(3, 0), (1, 0)]",TWINST0288-1-2,0,CONTE-Outlier,0.8563165124852409
16,1,"[(2, 0)]",CONTE0091-2-1,0,CONTE-Outlier,2.468747088788921
17,33,"[(2, 0)]",CONTE0434-1-1,0,CONTE-Outlier,5.188659295644971
18,61,"[(2, 0)]",TWINST0052-1-2,0,CONTE-Outlier,3.5940317754758464
19,25,"[(0, 3), (5, 2)]",CONTE0382-1-1,0,CONTE-Outlier,0.7565874253942548
20,90,"[(0, 3), (3, 6)]",TWINST0324-1-2,0,CONTE-Outlier,0.5634167105794541
21,8,"[(0, 2), (0, 0)]",CONTE-TRIOneo-0197-1-1,0,CONTE-Outlier,2.9740098566713615
22,76,"[(0, 2), (0, 0)]",TWINST0160-1-2,0,CONTE-Outlier,1.0190389979972947
23,19,"[(0, 2), (2, 1)]",CONTE0308-1-1,0,CONTE-Outlier,0.807135230986842
24,62,"[(0, 2), (1, 0)]",TWINST0060-1-1,0,CONTE-Outlier,0.8755682382038905
25,41,"[(0, 2), (5, 1)]",CONTE0473-1-1,0,CONTE-Outlier,1.8324005494869207
26,2,"[(0, 2), (4, 1)]",CONTE0107-2-1,0,CONTE-Outlier,2.1195669048828267
27,63,"[(0, 2), (4, 1)]",TWINST0062-1-1,0,CONTE-Outlier,1.692263473288348
28,56,"[(0, 2), (3, 0)]",CONTE0596-1-1,0,CONTE-Outlier,1.7018699644278452
29,6,"[(1, 3), (0, 1)]",CONTE-TRIOneo-0075-1-1,0,CONTE-Outlier,0.9977144673984263
30,26,"[(1, 3), (5, 0)]",CONTE0386-1-1,0,CONTE-Outlier,1.4403447572100045
31,83,"[(1, 3), (4, 1)]",TWINST0247-1-1,0,CONTE-Outlier,0.44826682634889053
32,77,"[(1, 3), (3, 1)]",TWINST0169-1-2,0,CONTE-Outlier,1.0118723434423946
33,47,"[(1, 3), (2, 1)]",CONTE0502-1-1,0,CONTE-Outlier,0.65874044957203
34,17,"[(1, 2), (1, 0)]",CONTE0280-1-1,0,CONTE-Outlier,1.7182794562967987
35,75,"[(1, 2), (1, 0)]",TWINST0158-1-2,0,CONTE-Outlier,1.147980222162228
36,68,"[(1, 2), (0, 1)]",TWINST0117-1-2,0,CONTE-Outlier,1.077627197924707
37,12,"[(1, 2), (1, 1)]",CONTE0211-1-1,0,CONTE-Outlier,0.9310449638210414
38,64,"[(1, 2), (1, 4)]",TWINST0072-1-1,0,CONTE-Outlier,0.8392656466844286
39,70,"[(1, 2), (0, 2)]",TWINST0120-1-2,0,CONTE-Outlier,0.9314247768496616
40,73,"[(1, 2), (1, 2)]",TWINST0149-1-1,0,CONTE-Outlier,0.40846806225236015
41,34,"[(2, 3), (3, 0)]",CONTE0444-1-1,0,CONTE-Outlier,1.2714237758924787
42,55,"[(2, 3), (2, 0)]",CONTE0562-1-1,0,CONTE-Outlier,0.5799286010827183
43,66,"[(2, 3), (0, 2)]",TWINST0101-1-2,0,CONTE-Outlier,1.1387160448730833
44,82,"[(2, 3), (0, 2)]",TWINST0245-1-1,0,CONTE-Outlier,1.2092485005318552
45,13,"[(2, 3), (1, 2)]",CONTE0232-2-1,0,CONTE-Outlier,0.7676903628668804
46,21,"[(2, 3), (1, 2)]",CONTE0348-1-1,0,CONTE-Outlier,0.560331079218565
47,88,"[(2, 3), (2, 2)]",TWINST0297-1-2,0,CONTE-Outlier,0.6694403470851047
48,32,"[(2, 3), (2, 1)]",CONTE0426-1-1,0,CONTE-Outlier,0.6217859295774727
49,22,"[(2, 2), (1, 1)]",CONTE0353-1-1,0,CONTE-Outlier,0.7360461555895168
50,5,"[(2, 2), (0, 3)]",CONTE0160-1-1,0,CONTE-Outlier,0.5177940989829305
51,43,"[(3, 3), (2, 0)]",CONTE0478-1-1,0,CONTE-Outlier,1.1538730464769789
52,42,"[(3, 3), (1, 5)]",CONTE0474-1-1,0,CONTE-Outlier,0.7966789996960776
53,50,"[(3, 3), (1, 4)]",CONTE0524-1-1,0,CONTE-Outlier,1.0629753673745386
54,30,"[(3, 3), (2, 3)]",CONTE0403-1-1,0,CONTE-Outlier,1.1388869969329625
55,71,"[(3, 3), (2, 2)]",TWINST0131-1-1,0,CONTE-Outlier,1.7012349781750467
56,14,"[(3, 2), (0, 0)]",CONTE0237-1-1,0,CONTE-Outlier,0.8434706482823966
57,23,"[(3, 2), (1, 0)]",CONTE0355-1-1,0,CONTE-Outlier,3.2253818649113253
58,40,"[(3, 2), (1, 0)]",CONTE0464-1-1,0,CONTE-Outlier,0.7848482356854656
59,52,"[(3, 2), (0, 2), (0, 0)]",CONTE0552-1-1,0,CONTE-Outlier,1.1443372750367062
60,53,"[(3, 2), (0, 2), (0, 2)]",CONTE0553-1-1,0,CONTE-Outlier,0.48578739589830827
61,31,"[(3, 2), (0, 2), (1, 2)]",CONTE0408-1-1,0,CONTE-Outlier,1.5583994986155731
62,67,"[(3, 2), (1, 2)]",TWINST0102-1-1,0,CONTE-Outlier,2.2259768966046023
63,3,"[(3, 2), (0, 1)]",CONTE0137-2-1,0,CONTE-Outlier,1.0708303134059796
64,16,"[(3, 2), (0, 1)]",CONTE0273-1-1,0,CONTE-Outlier,0.5433059746596044
65,29,"[(3, 2), (0, 1)]",CONTE0402-1-1,0,CONTE-Outlier,0.6519492203030494
66,65,"[(3, 2), (0, 1)]",TWINST0089-1-2,0,CONTE-Outlier,0.820108362384333
67,86,"[(0, 1), (3, 1)]",TWINST0272-1-2,0,CONTE-Outlier,3.544428183393371
68,4,"[(0, 1), (5, 0)]",CONTE0144-1-1,0,CONTE-Outlier,0.9780128709226763
69,45,"[(0, 1), (9, 1)]",CONTE0486-1-1,0,CONTE-Outlier,1.4896888548974108
